1,अ,A
2,आ,Aa
3,इ,I
4,ई,Ee
5,उ,U
6,ऊ,Oo
7,ऋ,Ri
8,ऌ,Ll
9,ऍ,El
10,ऎ,Ell
11,ए,E
12,ऐ,Ey
13,ऑ,Ol
14,ऒ,Oll
15,ओ,O
16,औ,Ou
17,क,K
18,ख,Kh
19,ग,G
20,घ,Gh
21,ङ,N'
22,च,Ch
23,छ,Chh
24,ज,J
25,झ,Jh
26,ञ,N'
27,ट,T
28,ठ,Th
29,ड,D
30,ढ,Dh
31,ण,N'
32,त,T'
33,थ,T'h
34,द,Th
35,ध,Thh
36,न,N
37,ऩ,Nl
38,प,P
39,फ,F
40,ब,B
41,भ,Bh
42,म,M
43,य,Y
44,र,R
45,ऱ,Rl
46,ल,L
47,ळ,Ll
48,ऴ,Lll
49,व,V
50,श,Sh
51,ष,Shh
52,स,S
53,ह,H
54,ॐ,Oms
55,क़,Ql
56,ख़,Khl
57,ग़,Ghl
58,ज़,Z
59,ड़,ugDh
60,ढ़,ugDhh
61,फ़,Fl
62,य़,Yl
63,ॠ,Ri
64,ॡ,Lll
